,tweet_id,twitter_handle,date_time,tweet_source,tweet_text
0,1591206577285238784,NBA,Twitter Media Studio,2022-11-11 23:09:45+00:00,"Fresh off back-to-back 30+ point games Jayson Tatum gears up for tonight's hoops against Denver!

🏀 Nuggets vs. Celtics
7:00 PM ET on @NBATV 

Music by @unitedmasters  https://t.co/4s7DXySIfo"
1,1591204124326084608,NBA,Twitter Web App,2022-11-11 23:00:01+00:00,"Donovan Mitchell and the 8-3 @cavs visit Steph Curry and the defending champ @warriors for the NBA App Game of the Day!

👀: NBA App
⏰: 10pm/et
📲: https://t.co/cW6UqNW8c9 https://t.co/TtzBsKvwPc"
2,1591200131306557441,NBA,Twitter for iPhone,2022-11-11 22:44:09+00:00,"☘️ Jaylen Brown arrives 👀

The @celtics host the Nuggets tonight at 7 PM ET on @NBATV https://t.co/nZ3ZJ0I0UC"
3,1591196572770934785,NBA,Twitter Web App,2022-11-11 22:30:00+00:00,"Coaches Corner with Taylor Jenkins 📽️

Grizzlies Head Coach Taylor Jenkins breaks down Ja Morant’s game-winner against Minnesota in Game 5 of the 2022 postseason! 

📲: https://t.co/nKYbeBn5t3

MIN/MEM - Tonight at 9:30 PM ET on ESPN https://t.co/r1dQP2wRYi"
4,1591181474371227649,NBA,Twitter Media Studio,2022-11-11 21:30:00+00:00,"Domantas Sabonis is a huge fan of Kareem Abdul-Jabbar’s signature sky hook! 

🏀: Kings/Lakers
⏰: 10:30pm/et on the NBA App
📲: https://t.co/WFdLNEATbY https://t.co/EXeufPucju"
5,1591179189826510848,NBA,Twitter for iPhone,2022-11-11 21:20:56+00:00,RT @nikebasketball: Which 2022-23 Nike NBA City Edition jersey are you adding to your rotation? https://t.co/NW1fZ02OkI
6,1591166373727653888,NBA,Twitter Media Studio,2022-11-11 20:30:00+00:00,"Rudy Gobert has referee Courtney Kirkland inspired! 😂

Gobert and the @Timberwolves visit Memphis tonight at 9:30pm/et on ESPN https://t.co/74XKyFhlc0"
7,1591165352977006592,NBA,Twitter for iPhone,2022-11-11 20:25:57+00:00,"Adam Sandler and Rob Schneider provided the postgame comedy for the @MiamiHEAT last night 😂

https://t.co/uXjvRntBWf"
8,1591164282758369280,NBA,Twitter for iPhone,2022-11-11 20:21:42+00:00,"Victor Wembanyama notched his first @FIBAWC qualifying bucket for @FRABasketball today! #FIBAWC 

https://t.co/xZArodw1uK"
9,1591151272610082816,NBA,Twitter Media Studio,2022-11-11 19:30:00+00:00,"Klay Thompson and Kevin Love talk about their friendship and baseball connection back when they were kids in Lake Oswego, Oregon! 

🏀: Cavs/Warriors 
⏰: 10pm/et on the NBA App
📲: https://t.co/WFdLNEATbY https://t.co/bmRaQWEnjw"
0,1591148237083545600,KingJames,Twitter for iPhone,2022-11-11 19:17:56+00:00,LONG LIVE THE 🚀 MAN!!! Sky high YOUNG KING 👑 TAKEOFF 🙌🏾🙌🏾🙌🏾🤎 https://t.co/BwIgezCCHh
1,1591143317680852992,KingJames,Twitter for iPhone,2022-11-11 18:58:23+00:00,A REAL LIFE 🎥 https://t.co/x67y91ftxd
2,1590792607667728384,KingJames,Twitter for iPhone,2022-11-10 19:44:47+00:00,"@CuffsTheLegend FACTS!!! One of my fav joints he's done!! ""I do this for the love and it's free of charge, I don't need to be in jail to be behind bars"""
3,1590787587358478338,KingJames,Twitter for iPhone,2022-11-10 19:24:50+00:00,@RomeTrav https://t.co/ZPboRfevxD
4,1590781220623118336,KingJames,Twitter for iPhone,2022-11-10 18:59:32+00:00,the floor I think is excessive IMO. He’s not the person that’s being portrayed of him. Anyways back to my rehab session.
5,1590781218790211584,KingJames,Twitter for iPhone,2022-11-10 18:59:32+00:00,💭 I told you guys that I don’t believe in sharing hurtful information. And I’ll continue to be that way but Kyrie apologized and he should be able to play. That’s what I think. It’s that simple.  Help him learn- but he should be playing. What he’s asked to do to get back on
